,ship_to_name,ship_to_name_Kfold_Target_Enc
548,SCG READYMIX PLANT SOLO RING ROAD,1150.578847252578
549,"RDM SEMAR BETON PERKASA, PT",892.2222222222222
550,SEMARANG MULTI CONS BAWEN PT.,1150.578847252578
551,RDM SINAR UTAMA KARYA BLORA,836.0
552,"RDM SINAR UTAMA KARYA, PT GRUP",869.99999996
559,PBR TRI PILAR BETON MAS,730.7142857142857
560,RDM TRIYAGAN HARMET PERKASA/THP,896.6666666666666
561,TUGU BETON KROYA PT.,774.0
562,TUGU BETON SEMESTA ABADI PT.,800.0
564,PBR A PLUS PACIFIC,860.9375
565,PBR BATA RINGAN AAC BLOCK,795.1127183895758
568,PBR AMAK FIRDAUS UTOMO PT,807.0
571,PBR AVIA AVIAN PT,910.0
572,PBR BETON ELEMINDO PERKASA,0.0
573,BETON INTI GUNA PT.,1030.0
574,RDM BORNEO JAYA SAKTI,874.2857142857143
575,BUILDING MATERIAL CONSTRUCTION CV.,795.3333333333334
576,PBR BUMI INDAH GENTENG PT,712.0
